Measure,State,Year,Value
Miles of public road,Illinois,2019,"145,966.88"
Miles of public road,Illinois,2020,"145,992.87"
Miles of public road,Illinois,2021,"145,996.51"
Miles of public road,Illinois,2022,"146,009.98"
Miles of public road,Illinois,2023,"146,019.66"
Miles of public road,Illinois,2024,"146,033.9"
Miles of public road,Indiana,2010,"96,987.622"
Miles of public road,Indiana,2015,"96,570.64"
Miles of public road,Indiana,2016,"96,615.98"
Miles of public road,Indiana,2017,"96,790"
Miles of public road,Indiana,2018,"96,962.01"
Miles of public road,Indiana,2019,"96,906"
Miles of public road,Indiana,2020,"97,110.087"
Miles of public road,Indiana,2021,"97,827.134"
Miles of public road,Indiana,2022,"97,190.485"
Miles of public road,Indiana,2023,"97,040.2"
Miles of public road,Indiana,2024,"97,400.832"
Miles of public road,Iowa,2010,"114,382.799"
Miles of public road,Iowa,2015,"114,441.95"
Miles of public road,Iowa,2016,"114,741.38"
Miles of public road,Iowa,2017,"114,637.19"
Miles of public road,Iowa,2018,"114,745.09"
Miles of public road,Iowa,2019,"114,803.204"
Miles of public road,Iowa,2020,"114,838.394"
Miles of public road,Iowa,2021,"114,878.078"
Miles of public road,Iowa,2022,"114,969.664"
Miles of public road,Iowa,2023,"115,017.565"
Miles of public road,Iowa,2024,"115,063.002"
Miles of public road,Kansas,2010,"140,652.979"
Miles of public road,Kansas,2015,"140,654.25"
Miles of public road,Kansas,2016,"142,046.82"
Miles of public road,Kansas,2017,"142,054.24"
Miles of public road,Kansas,2018,"142,200.23"
Miles of public road,Kansas,2019,"140,372"
Miles of public road,Kansas,2020,"140,112.204"
Miles of public road,Kansas,2021,"139,181.015"
Miles of public road,Kansas,2022,"139,010.928"
Miles of public road,Kansas,2023,"138,975.247"
Miles of public road,Kansas,2024,"138,992.607"
Miles of public road,Kentucky,2010,"79,183.859"
Miles of public road,Kentucky,2015,"79,857.49"
Miles of public road,Kentucky,2016,"79,941.62"
Miles of public road,Kentucky,2017,"80,054.24"
Miles of public road,Kentucky,2018,"80,179.95"
Miles of public road,Kentucky,2019,"79,953.538"
Miles of public road,Kentucky,2020,"80,006.165"
Miles of public road,Kentucky,2021,"79,902.181"
Miles of public road,Kentucky,2022,"79,705.247"
Miles of public road,Kentucky,2023,"79,676.344"
Miles of public road,Kentucky,2024,"79,677.79"
Miles of public road,Louisiana,2010,"61,327.349"
Miles of public road,Louisiana,2015,"61,418.69"
Miles of public road,Louisiana,2016,"61,411.23"
Miles of public road,Louisiana,2017,"61,411.23"
Miles of public road,Louisiana,2018,"61,416.32"
Miles of public road,Louisiana,2019,"63,967.14"
Miles of public road,Louisiana,2020,"63,746.046"
Miles of public road,Louisiana,2021,"65,917.709"
Miles of public road,Louisiana,2022,"65,954.972"
Miles of public road,Louisiana,2023,"66,292.063"
Miles of public road,Louisiana,2024,"66,515.343"
Miles of public road,Maine,2010,"22,863.75"
Miles of public road,Maine,2015,"22,911.23"
Miles of public road,Maine,2016,"22,898.36"
Miles of public road,Maine,2017,"22,860.03"
Miles of public road,Maine,2018,"22,814.98"
Miles of public road,Maine,2019,"22,818.79"
Miles of public road,Maine,2020,"22,851.46"
Miles of public road,Maine,2021,"22,838.475"
Miles of public road,Maine,2022,"22,842.599"
Miles of public road,Maine,2023,"22,847.903"
Miles of public road,Maine,2024,"22,862.4"
Miles of public road,Maryland,2010,"31,526.108"
Miles of public road,Maryland,2015,"32,037.28"
Miles of public road,Maryland,2016,"32,147.39"
Miles of public road,Maryland,2017,"32,211"
Miles of public road,Maryland,2018,"32,268.7"
Miles of public road,Maryland,2019,"32,372.876"
Miles of public road,Maryland,2020,"32,430.478"
Miles of public road,Maryland,2021,"32,506.568"
Miles of public road,Maryland,2022,"32,572.073"
Miles of public road,Maryland,2023,"32,635.897"
Miles of public road,Maryland,2024,"32,669.038"
Miles of public road,Massachusetts,2010,"36,247.815"
Miles of public road,Massachusetts,2015,"36,422.95"
Miles of public road,Massachusetts,2016,"36,632.46"
Miles of public road,Massachusetts,2017,"36,722.66"
Miles of public road,Massachusetts,2018,"36,763.1"
Miles of public road,Massachusetts,2019,"36,790.787"
Miles of public road,Massachusetts,2020,"36,815.231"
Miles of public road,Massachusetts,2021,"36,830.044"
Miles of public road,Massachusetts,2022,"36,799.069"
Miles of public road,Massachusetts,2023,"36,894.08"
Miles of public road,Massachusetts,2024,"36,930.89"
Miles of public road,Michigan,2010,"121,968.657"
Miles of public road,Michigan,2015,"122,285.94"
Miles of public road,Michigan,2016,"122,114.81"
Miles of public road,Michigan,2017,"122,036.28"
Miles of public road,Michigan,2018,"122,164.32"
Miles of public road,Michigan,2019,"122,180.58"
Miles of public road,Michigan,2020,"122,040.288"
Miles of public road,Michigan,2021,"122,043.545"
Miles of public road,Michigan,2022,"122,037.609"
Miles of public road,Michigan,2023,"122,039.364"
Miles of public road,Michigan,2024,"122,055.849"
Miles of public road,Minnesota,2010,"138,163.857"
Miles of public road,Minnesota,2015,"138,767.33"
Miles of public road,Minnesota,2016,"138,794.4"
Miles of public road,Minnesota,2017,"139,448.82"
Miles of public road,Minnesota,2018,"139,590.74"
Miles of public road,Minnesota,2019,"141,359.545"
Miles of public road,Minnesota,2020,"141,956.661"
Miles of public road,Minnesota,2021,"142,862.282"
Miles of public road,Minnesota,2022,"143,216.793"
Miles of public road,Minnesota,2023,"143,105.919"
Miles of public road,Minnesota,2024,"142,487.849"
Miles of public road,Mississippi,2010,"75,080.478"
Miles of public road,Mississippi,2015,"76,776.53"
Miles of public road,Mississippi,2016,"77,027.04"
Miles of public road,Mississippi,2017,"77,445.1"
Miles of public road,Mississippi,2018,"77,476.74"
Miles of public road,Mississippi,2019,"77,487.119"
Miles of public road,Mississippi,2020,"77,512.154"
Miles of public road,Mississippi,2021,"77,514.478"
Miles of public road,Mississippi,2022,"77,740.721"
Miles of public road,Mississippi,2023,"78,389.673"
Miles of public road,Mississippi,2024,"78,397.866"
Miles of public road,Missouri,2010,"130,359.559"
Miles of public road,Missouri,2015,"131,548.57"
Miles of public road,Missouri,2016,"131,807.47"
Miles of public road,Missouri,2017,"131,879"
Miles of public road,Missouri,2018,"132,093.56"
Miles of public road,Missouri,2019,"132,253.619"
Miles of public road,Missouri,2020,"132,518.842"
Miles of public road,Missouri,2021,"132,708.186"
Miles of public road,Missouri,2022,"132,646.65"
Miles of public road,Missouri,2023,"132,888.923"
Miles of public road,Missouri,2024,"132,992.593"
Miles of public road,Montana,2010,"74,793.141"
Miles of public road,Montana,2015,"75,007.4"
Miles of public road,Montana,2016,"73,609.95"
Miles of public road,Montana,2017,"73,565.85"
Miles of public road,Montana,2018,"73,572.77"
Miles of public road,Montana,2019,"73,646.928"
Miles of public road,Montana,2020,"73,489.786"
Miles of public road,Montana,2021,"73,569.08"
Miles of public road,Montana,2022,"74,501.754"
Miles of public road,Montana,2023,"74,651.735"
Miles of public road,Montana,2024,"74,704.801"
Miles of public road,Nebraska,2010,"93,653.267"
Miles of public road,Nebraska,2015,"94,481.2"
Miles of public road,Nebraska,2016,"94,988.47"
Miles of public road,Nebraska,2017,"95,163.06"
Miles of public road,Nebraska,2018,"95,262.1"
Miles of public road,Nebraska,2019,"95,290.449"
Miles of public road,Nebraska,2020,"95,331.079"
Miles of public road,Nebraska,2021,"95,397.259"
Miles of public road,Nebraska,2022,"95,552.263"
Miles of public road,Nebraska,2023,"95,570.959"
Miles of public road,Nebraska,2024,"95,295.044"
Miles of public road,Nevada,2010,"35,061.125"
Miles of public road,Nevada,2015,"43,900.17"
Miles of public road,Nevada,2016,"42,582"
Miles of public road,Nevada,2017,"48,234"
Miles of public road,Nevada,2018,"48,458"
Miles of public road,Nevada,2019,"47,730.69"
Miles of public road,Nevada,2020,"47,793.433"
Miles of public road,Nevada,2021,"47,191.453"
Miles of public road,Nevada,2022,"47,348.028"
Miles of public road,Nevada,2023,"47,413.107"
Miles of public road,Nevada,2024,"47,563.888"
Miles of public road,New Hampshire,2010,"16,084.582"
Miles of public road,New Hampshire,2015,"16,138.35"
Miles of public road,New Hampshire,2016,"16,156.91"
Miles of public road,New Hampshire,2017,"16,156.17"
Miles of public road,New Hampshire,2018,"16,170.54"
Miles of public road,New Hampshire,2019,"16,185.17"
Miles of public road,New Hampshire,2020,"16,193.067"
Miles of public road,New Hampshire,2021,"16,227.688"
Miles of public road,New Hampshire,2022,"16,247.026"
Miles of public road,New Hampshire,2023,"16,262.069"
Miles of public road,New Hampshire,2024,"16,268.647"
Miles of public road,New Jersey,2010,"39,241.684"
Miles of public road,New Jersey,2015,"39,064.56"
Miles of public road,New Jersey,2016,"39,070.88"
Miles of public road,New Jersey,2017,"38,895.61"
Miles of public road,New Jersey,2018,"38,919.42"
Miles of public road,New Jersey,2019,"38,949.89"
Miles of public road,New Jersey,2020,"38,990.5"
Miles of public road,New Jersey,2021,"38,781.432"
Miles of public road,New Jersey,2022,"38,782.62"
Miles of public road,New Jersey,2023,"38,729.684"
Miles of public road,New Jersey,2024,"38,777.837"
Miles of public road,New Mexico,2010,"68,377.87"
Miles of public road,New Mexico,2015,"69,068.77"
Miles of public road,New Mexico,2016,"69,111.41"
Miles of public road,New Mexico,2017,"77,204.71"
Miles of public road,New Mexico,2018,"77,604.73"
Miles of public road,New Mexico,2019,"71,826.897"
Miles of public road,New Mexico,2020,"72,092.437"
Miles of public road,New Mexico,2021,"72,179.019"
Miles of public road,New Mexico,2022,"72,160.617"
Miles of public road,New Mexico,2023,"72,285.292"
Miles of public road,New Mexico,2024,"72,242.725"
Miles of public road,New York,2010,"114,573.83"
Miles of public road,New York,2015,"114,365.03"
Miles of public road,New York,2016,"113,499.35"
Miles of public road,New York,2017,"113,559.27"
Miles of public road,New York,2018,"113,532.61"
Miles of public road,New York,2019,"113,928.64"
Miles of public road,New York,2020,"114,205.26"
Miles of public road,New York,2021,"114,401.81"
Miles of public road,New York,2022,"114,424.321"
Miles of public road,New York,2023,"114,274.186"
Miles of public road,New York,2024,"116,320.152"
Miles of public road,North Carolina,2010,"105,653.089"
Miles of public road,North Carolina,2015,"106,333.63"
Miles of public road,North Carolina,2016,"106,521.53"
Miles of public road,North Carolina,2017,"106,974.99"
Miles of public road,North Carolina,2018,"107,348.4"
Miles of public road,North Carolina,2019,"107,628.003"
Miles of public road,North Carolina,2020,"107,954.343"
Miles of public road,North Carolina,2021,"108,073.881"
Miles of public road,North Carolina,2022,"108,284.691"
Miles of public road,North Carolina,2023,"108,587.7"
Miles of public road,North Carolina,2024,"108,827.016"
Miles of public road,North Dakota,2010,"86,842.009"
Miles of public road,North Dakota,2015,"87,128.41"
Miles of public road,North Dakota,2016,"87,397.16"
Miles of public road,North Dakota,2017,"87,688.43"
Miles of public road,North Dakota,2018,"88,050.05"
Miles of public road,North Dakota,2019,"88,167.671"
Miles of public road,North Dakota,2020,"88,429.108"
Miles of public road,North Dakota,2021,"88,411.62"
Miles of public road,North Dakota,2022,"88,415.841"
Miles of public road,North Dakota,2023,"88,446.988"
Miles of public road,North Dakota,2024,"88,564.892"
Miles of public road,Ohio,2010,"123,191.883"
Miles of public road,Ohio,2015,"122,925.65"
Miles of public road,Ohio,2016,"122,973.8"
Miles of public road,Ohio,2017,"122,986.5"
Miles of public road,Ohio,2018,"123,014.18"
Miles of public road,Ohio,2019,"123,031.393"
Miles of public road,Ohio,2020,"122,991.748"
Miles of public road,Ohio,2021,"122,787.707"
Miles of public road,Ohio,2022,"122,883.944"
Miles of public road,Ohio,2023,"122,875.753"
Miles of public road,Ohio,2024,"122,970.367"
Miles of public road,Oklahoma,2010,"112,873.01"
Miles of public road,Oklahoma,2015,"112,711.3"
Miles of public road,Oklahoma,2016,"112,987.81"
Miles of public road,Oklahoma,2017,"112,864.62"
Miles of public road,Oklahoma,2018,"116,064.62"
Miles of public road,Oklahoma,2019,"114,637.872"
Miles of public road,Oklahoma,2020,"115,078.883"
Miles of public road,Oklahoma,2021,"115,292.518"
Miles of public road,Oklahoma,2022,"115,430.277"
Miles of public road,Oklahoma,2023,"115,426.553"
Miles of public road,Oklahoma,2024,"115,560.371"
Miles of public road,Oregon,2010,"59,150.88"
Miles of public road,Oregon,2015,"73,543.72"
Miles of public road,Oregon,2016,"73,528.95"
Miles of public road,Oregon,2017,"79,274.52"
Miles of public road,Oregon,2018,"79,265.99"
Miles of public road,Oregon,2019,"79,045.06"
Miles of public road,Oregon,2020,"78,990.7"
Miles of public road,Oregon,2021,"79,417.24"
Miles of public road,Oregon,2022,"79,145.885"
Miles of public road,Oregon,2023,"79,166.63"
Miles of public road,Oregon,2024,"79,052.45"
Miles of public road,Pennsylvania,2010,"119,685.489"
Miles of public road,Pennsylvania,2015,"120,090.6"
Miles of public road,Pennsylvania,2016,"120,445.56"
Miles of public road,Pennsylvania,2017,"120,520.96"
Miles of public road,Pennsylvania,2018,"120,590.09"
Miles of public road,Pennsylvania,2019,"120,713.963"
Miles of public road,Pennsylvania,2020,"120,845.435"
Miles of public road,Pennsylvania,2021,"120,896.685"
Miles of public road,Pennsylvania,2022,"121,884.825"
Miles of public road,Pennsylvania,2023,"121,926.226"
Miles of public road,Pennsylvania,2024,"121,429.967"
Miles of public road,Rhode Island,2010,"6,489.979"
Miles of public road,Rhode Island,2015,"6,046.17"
Miles of public road,Rhode Island,2016,"6,052.45"
Miles of public road,Rhode Island,2017,"6,026.9"
Miles of public road,Rhode Island,2018,"6,012.86"
Miles of public road,Rhode Island,2019,"6,004.121"
Miles of public road,Rhode Island,2020,"6,024.804"
Miles of public road,Rhode Island,2021,"6,024.804"
Miles of public road,Rhode Island,2022,"6,530.567"
Miles of public road,Rhode Island,2023,"6,464.402"
Miles of public road,Rhode Island,2024,"6,558.866"
Miles of public road,South Carolina,2010,"66,023.682"
Miles of public road,South Carolina,2015,"76,249.89"
Miles of public road,South Carolina,2016,"76,066.68"
Miles of public road,South Carolina,2017,"77,364.09"
Miles of public road,South Carolina,2018,"77,991.97"
Miles of public road,South Carolina,2019,"79,233.551"
Miles of public road,South Carolina,2020,"79,189.65"
Miles of public road,South Carolina,2021,"79,199.696"
Miles of public road,South Carolina,2022,"77,207.67"
Miles of public road,South Carolina,2023,"76,728.931"
Miles of public road,South Carolina,2024,"78,432.233"
Miles of public road,South Dakota,2010,"82,446.894"
Miles of public road,South Dakota,2015,"82,576.12"
Miles of public road,South Dakota,2016,"82,556.8"
Miles of public road,South Dakota,2017,"82,583.85"
Miles of public road,South Dakota,2018,"82,501.39"
Miles of public road,South Dakota,2019,"81,969.094"
Miles of public road,South Dakota,2020,"81,697.382"
Miles of public road,South Dakota,2021,"81,288.813"
Miles of public road,South Dakota,2022,"81,744.056"
Miles of public road,South Dakota,2023,"81,761.513"
Miles of public road,South Dakota,2024,"81,825.188"
Miles of public road,Tennessee,2010,"94,206.959"
Miles of public road,Tennessee,2015,"95,636.64"
Miles of public road,Tennessee,2016,"95,737.17"
Miles of public road,Tennessee,2017,"95,986.28"
Miles of public road,Tennessee,2018,"96,115.87"
Miles of public road,Tennessee,2019,"96,167.284"
Miles of public road,Tennessee,2020,"96,181.889"
Miles of public road,Tennessee,2021,"96,319.342"
Miles of public road,Tennessee,2022,"96,405.829"
Miles of public road,Tennessee,2023,"96,303.079"
Miles of public road,Tennessee,2024,"95,944.805"
Miles of public road,Texas,2010,"311,249.485"
Miles of public road,Texas,2015,"313,595.51"
Miles of public road,Texas,2016,"313,656.12"
Miles of public road,Texas,2017,"314,319.4"
Miles of public road,Texas,2018,"314,647.5"
Miles of public road,Texas,2019,"315,445.424"
Miles of public road,Texas,2020,"316,567.47"
Miles of public road,Texas,2021,"322,152.753"
Miles of public road,Texas,2022,"323,364.211"
Miles of public road,Texas,2023,"322,112.807"
Miles of public road,Texas,2024,"326,027.615"
Miles of public road,Utah,2010,"45,123.747"
Miles of public road,Utah,2015,"46,298.6"
Miles of public road,Utah,2016,"46,768.75"
Miles of public road,Utah,2017,"49,289.78"
Miles of public road,Utah,2018,"48,912.75"
Miles of public road,Utah,2019,"48,608.473"
Miles of public road,Utah,2020,"48,811.503"
Miles of public road,Utah,2021,"48,908.347"
Miles of public road,Utah,2022,"49,008.124"
Miles of public road,Utah,2023,"49,202.607"
Miles of public road,Utah,2024,"49,505.052"
Miles of public road,Vermont,2010,"14,436.753"
Miles of public road,Vermont,2015,"14,252.42"
Miles of public road,Vermont,2016,"14,253.21"
Miles of public road,Vermont,2017,"14,254.82"
Miles of public road,Vermont,2018,"14,252.72"
Miles of public road,Vermont,2019,"14,253.503"
Miles of public road,Vermont,2020,"14,248.412"
Miles of public road,Vermont,2021,"14,247.772"
Miles of public road,Vermont,2022,"14,223.126"
Miles of public road,Vermont,2023,"14,246.897"
Miles of public road,Vermont,2024,"14,229.099"
Miles of public road,Virginia,2010,"74,378.01"
Miles of public road,Virginia,2015,"75,061.27"
Miles of public road,Virginia,2016,"75,095.55"
Miles of public road,Virginia,2017,"75,237.98"
Miles of public road,Virginia,2018,"75,368.79"
Miles of public road,Virginia,2019,"75,347.984"
Miles of public road,Virginia,2020,"75,527.129"
Miles of public road,Virginia,2021,"75,657.75"
Miles of public road,Virginia,2022,"75,507.81"
Miles of public road,Virginia,2023,"75,692.561"
Miles of public road,Virginia,2024,"75,649.475"
Miles of public road,Washington,2010,"83,822.353"
Miles of public road,Washington,2015,"80,338.26"
Miles of public road,Washington,2016,"80,392"
Miles of public road,Washington,2017,"80,428.68"
Miles of public road,Washington,2018,"80,652.79"
Miles of public road,Washington,2019,"80,704.33"
Miles of public road,Washington,2020,"81,022.207"
Miles of public road,Washington,2021,"79,426.583"
Miles of public road,Washington,2022,"79,507.579"
Miles of public road,Washington,2023,"79,541.421"
Miles of public road,Washington,2024,"78,908.715"
Miles of public road,West Virginia,2010,"38,625"
Miles of public road,West Virginia,2015,"38,770"
Miles of public road,West Virginia,2016,"38,769.99"
Miles of public road,West Virginia,2017,"38,853.85"
Miles of public road,West Virginia,2018,"38,850.16"
Miles of public road,West Virginia,2019,"38,876.998"
Miles of public road,West Virginia,2020,"38,878.899"
Miles of public road,West Virginia,2021,"38,836.824"
Miles of public road,West Virginia,2022,"38,843.025"
Miles of public road,West Virginia,2023,"38,837.336"
Miles of public road,West Virginia,2024,"39,138.15"
Miles of public road,Wisconsin,2010,"114,963.002"
Miles of public road,Wisconsin,2015,"115,371.72"
Miles of public road,Wisconsin,2016,"115,457.55"
Miles of public road,Wisconsin,2017,"115,547.01"
Miles of public road,Wisconsin,2018,"115,609"
Miles of public road,Wisconsin,2019,"115,673.452"
Miles of public road,Wisconsin,2020,"115,751.154"
Miles of public road,Wisconsin,2021,"115,693.765"
Miles of public road,Wisconsin,2022,"115,764.523"
Miles of public road,Wisconsin,2023,"115,877.326"
Miles of public road,Wisconsin,2024,"115,926.208"
Miles of public road,Wyoming,2010,"28,105"
Miles of public road,Wyoming,2015,"28,941.69"
Miles of public road,Wyoming,2016,"28,326.3"
Miles of public road,Wyoming,2017,"30,429.82"
Miles of public road,Wyoming,2018,"29,665.57"
Miles of public road,Wyoming,2019,"30,090.812"
Miles of public road,Wyoming,2020,"30,050.79"
Miles of public road,Wyoming,2021,"30,057.873"
Miles of public road,Wyoming,2022,"30,070.458"
Miles of public road,Wyoming,2023,"29,997.287"
Miles of public road,Wyoming,2024,"31,689.366"
Miles of public road,Puerto Rico,2019,"18,358.614"
Miles of public road,Puerto Rico,2020,"19,916.489"
Miles of public road,Puerto Rico,2021,"19,963.728"
Miles of public road,Puerto Rico,2022,"19,976.847"
Miles of public road,Puerto Rico,2023,"19,963.771"
Miles of public road,Puerto Rico,2024,"19,975.638"
Miles of freight railroad,United States,2010,"138,623"
Miles of freight railroad,United States,2015,"137,468"
Miles of freight railroad,United States,2017,"136,898"
Miles of freight railroad,United States,2019,"136,650"
Miles of freight railroad,United States,2020,"136,650"
Miles of freight railroad,United States,2021,"136,667"
Miles of freight railroad,United States,2023,"135,375"
Miles of freight railroad,Alabama,2010,"3,254"
Miles of freight railroad,Alabama,2015,"3,211"
Miles of freight railroad,Alabama,2017,"3,272"
Miles of freight railroad,Alabama,2019,"3,227"
Miles of freight railroad,Alabama,2020,"3,227"
Miles of freight railroad,Alabama,2021,"3,165"
Miles of freight railroad,Alabama,2023,"3,210"
Miles of freight railroad,Alaska,2010,506
Miles of freight railroad,Alaska,2015,470
Miles of freight railroad,Alaska,2017,506
Miles of freight railroad,Alaska,2019,506
Miles of freight railroad,Alaska,2020,506
Miles of freight railroad,Alaska,2021,506
Miles of freight railroad,Alaska,2023,506
