OBJECTID,KBIF ID,Facility Name,Facility Street Address,City Name,State,Zip Code ,County Name,Area Development District,NAICS Code,Building Sq Footage,Number of Employees,Average Trucks per Day,Truck Bays,Average Trains Week,Facility Length of Rail,Number of Rail Doors,Prior CHAF ID,Completed CHAF ID,Existing CHAF ID,Intermodal Connector Needs,Comments,Meets Criteria,Area Development District Name,County Number,District Number,District Name,RT Unique,Road Name,Route Prefix,Route Suffix,Route Label,Update Indicator,GUID_Str,End Active Date,GlobalID,last_edited_date,created_user,created_date,last_edited_user,MP,RT_NUMBER,x,y
11,0,Mueller Roofing,4301 Boron Ave,Covington,KY,41015,Kenton,NKADD,444190,138000,5,6,3,0,0,0, , , , ,NEW FEATURE,YES,NORTHERN KENTUCKY ADD,59,6,Covington,,,,,,2,AC84BBFD-B135-48CE-88EE-013C107F4223,,fbff3061-4121-40ce-a579-3845be9d88f6,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9407888.8373,4727712.3936
12,8624,Americold Logistics,1541 US Hwy 41 N,Sebree,KY,42455-9234,Webster,GRADD,493120,180000,13,0,15,0,1000,2, , , , ,TRUCK INFO; RAIL INFO,YES,GREEN RIVER ADD,117,2,Madisonville,,,,,,2,4ABC8156-5585-4BC1-86DE-013EA95DCC84,,64d7dc55-3ef6-4bab-bfe9-b72f0014464d,4/21/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9743436.9284,4526862.8085
13,1414,Graham Packaging Plastic Products,8283 Dixie Hwy,Florence,KY,41042-3230,Boone,NKADD,326160,155000,54,14,10,3,720,3, , , , , ,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,EBD99427-8CE3-4E35-8A81-0149DF2A6199,,d85d8585-cd49-4fa9-b6ac-ed2b6191d45e,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9419147.8128,4717598.2426
14,0,Jefferson County Board of Education - Nutrition Service Center, 360 Farmington Avenue,Louisville,KY,40209,Jefferson,KIPDA, ,70000,0,30,15,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,FD6A4954-51A9-40DE-89C0-0160D13754D8,,99d3ca65-6f94-411d-b230-5c685d5b3ce5,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9545964.656,4607708.7238
15,73,Flextronics America LLC,4400 Commerce Crossings Dr,Louisville,KY,40229,Jefferson,KIPDA,811211,500000,326,56,28,0,0,0,, , , ,LOCATED FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,B73C119B-EB63-4BE8-B58D-01AF9C7834A9,,abba0af2-27df-4668-bddf-9b9e6cfdf0bf,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9538603.264,4592455.0116
16,211018100,CVG2 - Amazon.com.kydc.LLC,1600 Worldwide Blvd.,Hebron,KY,41048-,Boone,NKADD,"423990, 443142, 454111, 454113, 493110, 541519",542960,2000,125,106,0,0,0, , , , ,MOVED FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,77478CA4-7545-4690-846B-01C1495446E9,,14de3869-45e9-45e4-beca-2ef6774669b0,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9431613.1972,4734214.7004
17,8387,Coroplast LLC,201 Industrial Park Road,Vanceburg,KY,41179-,Lewis,BTADD,"326112, 326113, 326121, 326130",118453,63,10,8,0,2054,0, , , , , ,YES,BUFFALO TRACE ADD,68,9,Flemingsburg,,,,,,2,3D85EF1F-FEB6-4F9E-B23E-01D3F05FF6D5,,cd246666-d830-4ade-aa5c-ab1fbb9654ed,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9270008.9316,4664394.3801
18,440913102,Packsize,2671 Technology Drive,Louisville,KY,40299,Jefferson,KIPDA,322220,150000,29,28,14,0,0,0, , , , ,2024 UPDATE NAME NAICS,YES,KIPDA ADD,56,5,Louisville,,,,,,2,E1CD14CA-D579-4698-9E05-02088B5804CE,,3bbaa646-5932-4c2c-8c2c-9fca20a63df9,6/30/2024 12:00:00 AM,,,EMILY.BARTEE,,,-9523339.6449,4608618.6211
19,0,Honeywell Integrated,201 Richard Knock Hwy,Walton,KY, ,Kenton,NKADD,48,900000,0,150,150,0,0,0, , , , , ,YES,NORTHERN KENTUCKY ADD,59,6,Covington,,,,,,2,B3465709-88EB-4A6E-91B5-0228BAD3D220,,fb0241e0-c6d7-46fc-b63f-924d81d266df,9/1/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9417133.8151,4701792.5594
20,0,Somerset Rail Park,300 Thoroughbred Drive,Ferguson,KY,42533,Pulaski,LCADD, ,95390,0,0,10,0,1100,0, , , , ,"NEW FEATURE, CVADD NEEDS TO SURVEY",YES,LAKE CUMBERLAND ADD,100,8,Somerset,,,,,,2,86A34598-6051-459B-84CD-0229669952E3,,69be2be6-474f-4795-9989-76a6f5bb0b66,6/29/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9416894.8516,4446731.9036
21,0,United Utility Supply Cooperative Inc, 4300 Champions Trace Lane,Louisville,KY,40218,Jefferson,KIPDA,"423610, 551114",170000,26,44,22,0,0,0,, , , ,UPDATED ADDRESS,YES,KIPDA ADD,56,5,Louisville,,,,,,2,B00F0EDC-7E8D-48D6-BD88-022A71DAC47C,,d7ee46f8-55da-46e3-ab8c-3f2de5dad6ef,7/11/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9537727.3931,4606547.7675
22,0,R+L Carriers,1025 Nandino Blvd,Lexington,KY,40511,Fayette,BGADD, ,17794,0,72,36,0,0,0, , , , ,NEW FEATURE; ADT EST,YES,BLUEGRASS ADD,34,7,Lexington,,,,,,2,366A320F-D2CF-4458-9C1B-02760C580F19,,ca885eb9-2d3b-4e4c-ae7b-ba8ed0718510,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9406622.3533,4590578.0574
23,453,River City Distributing Inc,7301 Winstead Dr,Louisville,KY,40258-1989,Jefferson,KIPDA,493110,191230,137,16,8,0,0,0,, , , ,UPDATED EMP,YES,KIPDA ADD,56,5,Louisville,,,,,,2,03165640-8E4D-4A00-AC08-028A1063E415,,027ba30a-56b9-4256-96f8-84d67289cab3,7/11/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9561648.2859,4598446.8408
24,3249,Old Hickory Clay Co,962 State Route 1241,Mayfield,KY,42066-9155,Graves,PUADD,"325180, 327992",200000,32,12,9,1,2000,5, , , , ,None,YES,PURCHASE ADD,42,1,Paducah,,,,,,2,8864A3FA-11CD-42CC-9D17-02969AC6F60E,,27f0925d-a477-4720-8ded-4c30ffe3339d,6/23/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9867373.2338,4412063.5846
25,0,BWF Envirotec,1800 Worldwide Blvd,Hebron,KY,41048,Boone,NKADD,333999,195000,48,40,25,0,0,0, , , , ,NEW FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,6FE96A09-4659-4A4C-A692-02FFBB0B2C66,,a6e8b3c9-c258-4cd2-b0ca-8588e3626f52,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9431872.1645,4734344.3685
26,6318,NSU Corp,9385 Sonora Rd,Sonora,KY,42776-9401,LaRue,LTADD,"327993, 336390",180000,88,3,3,0,0,0, , , , ,MOVED FEATURE,YES,LINCOLN TRAIL ADD,62,4,Elizabethtown,,,,,,2,2DA5C065-E42F-47D0-A874-0315F13BD867,,7ec14e65-1a39-496d-96db-035bb90e89e5,6/10/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9559941.9,4511700.5
